artist,grammy_wins,grammy_noms,metacritic,rolling_stone,grammy_signal,acclaim_score
Morcheeba,0,0,0,0,0,0.0
Emery,0,0,0,0,0,0.0
Tom Waits,2,7,84,4,11,0.5764127764127764
Arch Enemy,0,0,0,0,0,0.0
Devendra Banhart,0,0,0,0,0,0.0
65daysofstatic,0,0,0,0,0,0.0
Symphony X,0,0,0,0,0,0.0
The Cardigans,0,0,0,0,0,0.0
Pixies,0,0,86,5,0,0.5784090909090909
Marilyn Manson,0,4,74,2,4,0.42757985257985265
AFI,0,0,0,0,0,0.0
A Day to Remember,0,0,0,0,0,0.0
Röyksopp,0,0,0,0,0,0.0
Four Tet,0,0,0,0,0,0.0
Mando Diao,0,0,0,0,0,0.0
Dashboard Confessional,0,0,0,0,0,0.0
Opeth,0,0,84,1,0,0.4193181818181818
Deerhunter,0,0,0,0,0,0.0
Dead Kennedys,0,0,0,0,0,0.0
All Shall Perish,0,0,0,0,0,0.0
Placebo,0,0,72,1,0,0.3647727272727273
Goldfrapp,0,0,0,0,0,0.0
The Decemberists,0,0,0,0,0,0.0
Blonde Redhead,0,0,0,0,0,0.0
Nick Cave & The Bad Seeds,0,0,85,3,0,0.4988636363636364
The Radio Dept.,0,0,0,0,0,0.0
Ryan Adams,0,0,0,0,0,0.0
Dinosaur Jr.,0,0,0,0,0,0.0
Sade,4,6,78,2,14,0.48630221130221135
Ludovico Einaudi,0,0,0,0,0,0.0
Descendents,0,0,0,0,0,0.0
Devin Townsend,0,0,0,0,0,0.0
blink-182,0,0,72,1,0,0.3647727272727273
Yellowcard,0,0,0,0,0,0.0
Foo Fighters,15,30,75,4,60,0.7341523341523343
Jack Johnson,0,0,0,0,0,0.0
Sonic Youth,0,0,84,4,0,0.5318181818181819
Brand New,0,0,0,0,0,0.0
Underoath,0,0,0,0,0,0.0
Yo La Tengo,0,0,0,0,0,0.0
Ska-P,0,0,0,0,0,0.0
Muse,1,8,78,2,10,0.4700859950859951
Kaiser Chiefs,0,0,0,0,0,0.0
Doves,0,0,0,0,0,0.0
New Order,0,0,85,3,0,0.4988636363636364
Aphex Twin,0,2,88,3,2,0.5206081081081082
Isis,0,0,0,0,0,0.0
Eminem,15,44,82,6,74,0.8977272727272727
Slayer,2,5,82,3,9,0.5217137592137593
Children of Bodom,0,0,0,0,0,0.0
Apocalyptica,0,0,0,0,0,0.0
Eluveitie,0,0,0,0,0,0.0
Cocteau Twins,0,0,0,0,0,0.0
Alice in Chains,0,9,80,3,9,0.5126228501228501
Rob Zombie,0,0,0,0,0,0.0
Eagles of Death Metal,0,0,70,0,0,0.3181818181818182
Okkervil River,0,0,0,0,0,0.0
Eels,0,0,0,0,0,0.0
Whitechapel,0,0,0,0,0,0.0
Charlotte Gainsbourg,0,0,0,0,0,0.0
Meshuggah,0,0,0,0,0,0.0
Misfits,0,0,0,0,0,0.0
Dance Gavin Dance,0,0,0,0,0,0.0
Peaches,0,0,0,0,0,0.0
The Killers,0,7,78,2,7,0.45792383292383293
Creedence Clearwater Revival,0,0,82,4,0,0.5227272727272727
Incubus,0,2,68,1,2,0.3546990171990172
Guns N' Roses,0,3,80,4,3,0.5257985257985258
Beck,2,15,84,4,19,0.6088452088452089
Garbage,0,7,76,1,7,0.4113329238329238
LCD Soundsystem,0,7,87,3,7,0.5363329238329239
Aerosmith,4,12,74,4,20,0.5674447174447175
Ladytron,0,0,0,0,0,0.0
The Cure,0,3,82,4,3,0.5348894348894349
Reel Big Fish,0,0,0,0,0,0.0
The Black Dahlia Murder,0,0,0,0,0,0.0
The Devil Wears Prada,0,0,0,0,0,0.0
Dimmu Borgir,0,0,0,0,0,0.0
Steely Dan,4,8,82,3,16,0.5500921375921376
Flying Lotus,0,0,0,0,0,0.0
Atlas Sound,0,0,0,0,0,0.0
Great Lake Swimmers,0,0,0,0,0,0.0
Avantasia,0,0,0,0,0,0.0
Kings of Leon,4,8,74,2,16,0.4762285012285013
Stars,0,0,0,0,0,0.0
Fall Out Boy,0,1,70,1,1,0.3597358722358722
Kings of Convenience,0,0,0,0,0,0.0
Andrew Bird,0,0,0,0,0,0.0
Porcupine Tree,0,0,0,0,0,0.0
Kate Bush,0,3,84,3,3,0.506480343980344
Dream Theater,0,2,78,1,2,0.4001535626535626
Amorphis,0,0,0,0,0,0.0
Alesana,0,0,0,0,0,0.0
Booka Shade,0,0,0,0,0,0.0
Pearl Jam,1,7,80,5,9,0.5876228501228502
Snow Patrol,0,2,68,0,2,0.3171990171990172
Billy Talent,0,0,0,0,0,0.0
Bloodhound Gang,0,0,0,0,0,0.0
